vertex,Label,degree_centrality_x,degree_centrality_y,degree_centrality
49288855,Sadhika Malladi,0.002904865649963689,0.28061909608591823,0.003174495415098394
2146267242,Zhenyu Wu,0.0018369003374770388,0.2910377246502202,0.0031529549581268733
89843190,Yin-xiong Li,0.0003417488999957281,0.3070012072126149,0.003151642173506817
2118662037,Meiling Wang,0.002947584262463155,0.29100515997660986,0.0031347921446794416
2091330,Kenza Hamidouche,0.0016233072749797085,0.2395313143954013,0.0031333376869751807
2145500333,Yang Zhou,0.0009825280874877183,0.30542289781464305,0.003119785508624563
1731770,P. Parrilo,0.0018369003374770388,0.224887830315408,0.003080810449833856
2112216694,Qinghua Liu,0.0015378700499807767,0.27017948915240503,0.0030787597289144686
89555756,Elynn Y. Chen,0.0008116536374898543,0.280810989655313,0.0030185196717953814
3127195,Yanhui Wu,0.0020932120124738346,0.303687270262061,0.003012949728829942
2045778420,Wei Hu,0.0003417488999957281,0.3024472819247288,0.0029891206380920506
2153912401,Yi Zhang,0.00017087444999786406,0.3025763006595045,0.0029837474675660147
2406081917,Michael I. Jordan,0.0005980605749925242,0.286117664837837,0.0029824090623778656
2145787006,Jin Zhou,0.00012815583749839805,0.29318853703490416,0.002970459692376395
2108548762,Gen Li,0.0013242769874834465,0.2939064055287931,0.0029699190213091984
2999816,Jelena Bradic,0.0018369003374770388,0.2685243612146361,0.002969126274629496
2241569932,Kwang-Ting Cheng,0.002306805074971165,0.2834463555669485,0.0029624638144004054
1922357988,Junwei Lu,0.0024776795249690287,0.27788396522406433,0.0029158860959005335
2105550407,Chen Ye,0.002306805074971165,0.2903301833583713,0.0028895292400819552
145237312,H. Wiberg,0.0012815583749839804,0.2690861857831471,0.002879028719298558
2141316157,Marta Fochesato,0.0015378700499807767,0.26053226231001425,0.002847701749820653
143882486,Qianqian Tang,0.00017087444999786406,0.2944313770326496,0.0028466295736069482
3344254,Kangkook Jee,0.0032038959374599513,0.2782903345942054,0.0028228884357125537
88740336,R. Titiunik,0.0015805886624802425,0.23425740635226794,0.0028178547821413056
32099299,Michael Perlmutter,0.0020932120124738346,0.2424440167662939,0.0027987964261233004
2072248,Igor Gilitschenski,0.0030757400999615533,0.2695789381618673,0.0027795450833063198
143758657,Ying Hu,0.00012815583749839805,0.28559750168035597,0.002739502769852642
153709686,Yazhen Wang,0.002306805074971165,0.2619727142186103,0.002658292083505015
3052001,D. Peterseim,0.0018369003374770388,0.24370614125230214,0.002655951473166916
12383244,Yasaman Bahri,0.0017087444999786406,0.23984547957536081,0.0026541607280703857
33990378,Jamie Haddock,0.002605835362467427,0.2419853409289728,0.0026523450909389642
2151288080,Bo Li,0.00046990473749412614,0.30049039800142,0.0026274558981723064
